accel_x,accel_y,accel_z,altitude
-242,8,999,85.37630273899443
-242,9,1004,85.12629892423895
-245,12,1005,85.25130083161669
-237,11,1003,85.25130083161669
-241,11,1003,85.06379797055008
-240,11,1003,85.06379797055008
-241,9,1002,85.31380178530556
