accel_x,accel_y,accel_z,altitude
-269,14,1049,85.4388036926833
-266,4,996,85.37630273899443
-263,11,999,85.37630273899443
-257,10,984,85.31380178530556
-236,63,1022,85.37630273899443
-373,81,949,85.6263065537499
-541,104,874,85.6263065537499
-495,158,890,85.50130464637216
